id,SwitchID,Date_n_Time,Status
142,201A,"2021-03-25 11:33:06",Called
143,202A,"2021-03-25 11:33:09",Called
144,201A,"2021-03-25 11:33:12",Attended
145,202A,"2021-03-25 11:33:14",Attended
146,202A,"2021-03-25 11:33:15",Called
147,201A,"2021-03-25 11:33:16",Called
148,203A,"2021-03-25 11:33:19",Called
149,210A,"2021-03-25 11:33:21",Called
150,202A,"2021-03-25 11:33:24",Attended
151,202A,"2021-03-25 11:33:28",Called
152,203A,"2021-03-25 11:33:30",Attended
153,210A,"2021-03-25 11:33:31",Attended
154,201A,"2021-03-25 11:33:33",Attended
155,202A,"2021-03-25 11:33:34",Attended
156,202A,"2021-03-25 11:33:37",Called
157,201A,"2021-03-25 11:33:39",Called
158,203A,"2021-03-25 11:33:40",Called
159,201A,"2021-03-25 11:33:46",Attended
160,203A,"2021-03-25 11:33:47",Attended
161,202A,"2021-03-25 11:33:51",Attended
162,201A,"2021-03-25 11:33:52",Called
163,202A,"2021-03-25 11:33:53",Called
164,203A,"2021-03-25 11:33:53",Called
165,210A,"2021-03-25 11:33:54",Called
166,211B,"2021-03-25 11:33:55",Called
167,209A,"2021-03-25 11:33:56",Called
168,201A,"2021-03-25 11:33:58",Attended
169,202A,"2021-03-25 11:33:59",Attended
170,203A,"2021-03-25 11:34:01",Attended
171,210A,"2021-03-25 11:34:13",Attended
172,211B,"2021-03-25 11:34:16",Attended
173,209A,"2021-03-25 11:34:16",Attended
174,201A,"2021-03-25 11:34:35",Called
175,202A,"2021-03-25 11:34:37",Called
176,203A,"2021-03-25 11:34:38",Called
177,201A,"2021-03-25 11:34:41",Attended
178,202A,"2021-03-25 11:34:43",Attended
179,203A,"2021-03-25 11:34:44",Attended
180,203A,"2021-03-25 11:34:45",Called
181,210A,"2021-03-25 11:34:47",Called
182,203A,"2021-03-25 11:34:51",Attended
183,210A,"2021-03-25 11:34:53",Attended
184,210A,"2021-03-25 11:34:54",Called
185,203A,"2021-03-25 11:34:54",Called
186,210A,"2021-03-25 11:35:09",Attended
187,210A,"2021-03-25 11:35:10",Called
188,210A,"2021-03-25 11:35:17",Attended
189,203A,"2021-03-25 11:35:19",Attended
190,210A,"2021-03-25 11:35:23",Called
191,211B,"2021-03-25 11:35:23",Called
192,211B,"2021-03-25 11:35:35",Attended
193,210A,"2021-03-25 11:35:36",Attended
194,205B,"2021-03-25 11:35:42",Called
195,201A,"2021-03-25 11:35:42",Called
196,205B,"2021-03-25 11:35:51",Attended
197,201A,"2021-03-25 11:35:51",Attended
198,202A,"2021-03-25 11:35:57",Called
199,201A,"2021-03-25 11:35:57",Called
200,202A,"2021-03-25 11:37:15",Attended
201,201A,"2021-03-25 11:37:16",Attended
202,201A,"2021-03-25 11:40:23",Called
203,202A,"2021-03-25 11:40:23",Called
204,210B,"2021-03-25 11:42:38",Called
205,211A,"2021-03-25 11:42:39",Called
206,210B,"2021-03-25 11:42:53",Attended
207,211A,"2021-03-25 11:42:55",Attended
208,210B,"2021-03-25 11:42:55",Called
209,211A,"2021-03-25 11:42:55",Called
210,202A,"2021-03-25 11:45:47",Attended
211,201A,"2021-03-25 11:45:47",Attended
212,210B,"2021-03-25 11:45:50",Attended
213,211A,"2021-03-25 11:45:50",Attended
214,206B,"2021-03-25 11:46:09",Called
215,207A,"2021-03-25 11:46:11",Called
216,207B,"2021-03-25 11:46:11",Called
217,208A,"2021-03-25 11:46:11",Called
218,208B,"2021-03-25 11:46:12",Called
219,207A,"2021-03-25 11:46:51",Attended
220,206B,"2021-03-25 11:46:52",Attended
221,207B,"2021-03-25 11:46:52",Attended
222,208A,"2021-03-25 11:46:53",Attended
223,208B,"2021-03-25 11:46:53",Attended
224,206B,"2021-03-25 11:47:03",Called
225,207A,"2021-03-25 11:47:04",Called
226,207B,"2021-03-25 11:47:06",Called
227,208A,"2021-03-25 11:47:06",Called
228,208B,"2021-03-25 11:47:07",Called
229,208B,"2021-03-25 11:47:10",Attended
230,208A,"2021-03-25 11:47:10",Attended
231,207B,"2021-03-25 11:47:11",Attended
232,207A,"2021-03-25 11:47:12",Attended
233,206B,"2021-03-25 11:47:13",Attended
234,212A,"2021-03-25 11:47:24",Called
235,212A,"2021-03-25 11:47:29",Attended
236,212A,"2021-03-25 11:47:29",Called
237,212A,"2021-03-25 11:47:31",Attended
238,212A,"2021-03-25 11:47:31",Called
239,212A,"2021-03-25 11:47:32",Attended
240,212A,"2021-03-25 11:47:32",Called
241,212A,"2021-03-25 11:47:33",Attended
242,212A,"2021-03-25 11:47:34",Called
243,212A,"2021-03-25 11:47:35",Attended
244,212B,"2021-03-25 11:47:35",Called
245,212A,"2021-03-25 11:47:37",Called
246,212A,"2021-03-25 11:47:47",Attended
247,212B,"2021-03-25 11:47:47",Attended
248,212B,"2021-03-25 11:47:49",Called
249,212A,"2021-03-25 11:47:49",Called
250,212A,"2021-03-25 11:48:00",Attended
251,212B,"2021-03-25 11:48:00",Attended
252,214A,"2021-03-25 11:48:03",Called
253,215A,"2021-03-25 11:48:03",Called
254,214A,"2021-03-25 11:48:11",Attended
255,215A,"2021-03-25 11:48:11",Attended
256,216A,"2021-03-25 11:48:26",Called
257,215A,"2021-03-25 11:48:26",Called
258,216A,"2021-03-25 11:48:32",Attended
259,215A,"2021-03-25 11:48:32",Attended
260,215A,"2021-03-25 11:48:33",Called
261,213A,"2021-03-25 11:48:35",Called
262,212A,"2021-03-25 11:48:38",Called
263,206A,"2021-03-25 11:48:40",Called
264,212A,"2021-03-25 11:48:49",Attended
265,206A,"2021-03-25 11:48:56",Attended
266,213A,"2021-03-25 11:48:59",Attended
267,215A,"2021-03-25 11:49:00",Attended
268,214A,"2021-03-25 11:49:01",Called
269,214A,"2021-03-25 11:49:03",Attended
270,210B,"2021-03-25 11:49:05",Called
271,210B,"2021-03-25 11:49:08",Attended
272,216A,"2021-03-25 11:49:09",Called
273,210B,"2021-03-25 11:49:13",Called
274,210B,"2021-03-25 11:49:18",Attended
275,216A,"2021-03-25 11:49:19",Attended
276,216A,"2021-03-25 11:49:19",Called
277,210B,"2021-03-25 11:49:20",Called
278,210B,"2021-03-25 11:49:21",Attended
279,216A,"2021-03-25 11:49:22",Attended
280,216A,"2021-03-25 11:49:22",Called
281,210B,"2021-03-25 11:49:22",Called
282,210B,"2021-03-25 11:49:23",Attended
283,216A,"2021-03-25 11:49:36",Attended
284,216A,"2021-03-25 11:49:36",Called
285,210B,"2021-03-25 11:49:37",Called
286,210B,"2021-03-25 11:49:39",Attended
287,216A,"2021-03-25 11:49:39",Attended
288,210B,"2021-03-25 11:49:40",Called
289,210B,"2021-03-25 11:49:41",Attended
290,216A,"2021-03-25 11:49:41",Called
291,216A,"2021-03-25 11:49:46",Attended
292,210B,"2021-03-25 11:49:47",Called
293,210B,"2021-03-25 11:49:48",Attended
294,216A,"2021-03-25 11:49:49",Called
295,210B,"2021-03-25 11:49:50",Called
296,210B,"2021-03-25 11:49:51",Attended
297,216A,"2021-03-25 11:49:51",Attended
298,216A,"2021-03-25 11:49:52",Called
299,210B,"2021-03-25 11:49:53",Called
300,210B,"2021-03-25 11:49:53",Attended
301,216A,"2021-03-25 11:49:54",Attended
302,216A,"2021-03-25 11:49:55",Called
303,210B,"2021-03-25 11:49:55",Called
304,216A,"2021-03-25 11:49:56",Attended
305,210B,"2021-03-25 11:49:56",Attended
306,216A,"2021-03-25 11:49:57",Called
307,210B,"2021-03-25 11:49:58",Called
308,216A,"2021-03-25 11:49:58",Attended
309,210B,"2021-03-25 11:49:59",Attended
310,216A,"2021-03-25 11:49:59",Called
311,210B,"2021-03-25 11:50:00",Called
312,210B,"2021-03-25 11:50:02",Attended
313,210B,"2021-03-25 11:50:03",Called
314,216A,"2021-03-25 11:50:06",Attended
315,216A,"2021-03-25 11:50:11",Called
316,210B,"2021-03-25 11:50:13",Attended
317,210B,"2021-03-25 11:50:15",Called
318,216A,"2021-03-25 11:50:18",Attended
319,210B,"2021-03-25 11:50:19",Attended
320,216A,"2021-03-25 11:50:20",Called
321,210B,"2021-03-25 11:50:21",Called
322,209B,"2021-03-25 11:50:24",Called
323,204A,"2021-03-25 11:50:26",Called
324,210B,"2021-03-25 11:51:12",Attended
325,204A,"2021-03-25 11:51:12",Attended
326,209B,"2021-03-25 11:51:14",Attended
327,216A,"2021-03-25 11:51:15",Attended
328,211A,"2021-03-25 12:04:52",Attended
329,209A,"2021-03-25 12:04:52",Attended
330,202A,"2021-03-25 12:04:52",Attended
331,212B,"2021-03-25 12:04:52",Attended
332,210B,"2021-03-25 12:04:52",Attended
333,203A,"2021-03-25 12:04:52",Attended
334,206A,"2021-03-25 12:04:52",Attended
335,205B,"2021-03-25 12:04:52",Attended
336,207B,"2021-03-25 12:04:52",Attended
337,209B,"2021-03-25 12:04:52",Attended
338,216A,"2021-03-25 12:04:52",Attended
339,215A,"2021-03-25 12:04:52",Attended
340,212A,"2021-03-25 12:04:52",Attended
341,201A,"2021-03-25 12:04:52",Attended
342,210A,"2021-03-25 12:04:52",Attended
343,204A,"2021-03-25 12:04:52",Attended
344,211B,"2021-03-25 12:04:52",Attended
345,207A,"2021-03-25 12:04:52",Attended
346,214A,"2021-03-25 12:04:52",Attended
347,206B,"2021-03-25 12:04:53",Attended
348,213A,"2021-03-25 12:04:53",Attended
349,208B,"2021-03-25 12:04:53",Attended
350,208A,"2021-03-25 12:04:53",Attended
351,211A,"2021-03-25 12:12:01",Attended
352,209A,"2021-03-25 12:12:01",Attended
353,202A,"2021-03-25 12:12:02",Attended
354,212B,"2021-03-25 12:12:02",Attended
355,210B,"2021-03-25 12:12:02",Attended
356,203A,"2021-03-25 12:12:02",Attended
357,206A,"2021-03-25 12:12:02",Attended
358,205B,"2021-03-25 12:12:02",Attended
359,207B,"2021-03-25 12:12:02",Attended
360,209B,"2021-03-25 12:12:02",Attended
361,216A,"2021-03-25 12:12:02",Attended
362,215A,"2021-03-25 12:12:02",Attended
363,212A,"2021-03-25 12:12:02",Attended
364,201A,"2021-03-25 12:12:02",Attended
365,210A,"2021-03-25 12:12:02",Attended
366,204A,"2021-03-25 12:12:02",Attended
367,211B,"2021-03-25 12:12:02",Attended
368,207A,"2021-03-25 12:12:02",Attended
369,214A,"2021-03-25 12:12:02",Attended
370,206B,"2021-03-25 12:12:02",Attended
371,213A,"2021-03-25 12:12:02",Attended
372,208B,"2021-03-25 12:12:02",Attended
373,208A,"2021-03-25 12:12:02",Attended
374,211A,"2021-03-25 12:17:24",Attended
375,209A,"2021-03-25 12:17:24",Attended
376,202A,"2021-03-25 12:17:24",Attended
377,212B,"2021-03-25 12:17:24",Attended
378,210B,"2021-03-25 12:17:24",Attended
379,203A,"2021-03-25 12:17:24",Attended
380,206A,"2021-03-25 12:17:24",Attended
381,205B,"2021-03-25 12:17:24",Attended
382,207B,"2021-03-25 12:17:24",Attended
383,209B,"2021-03-25 12:17:24",Attended
384,216A,"2021-03-25 12:17:24",Attended
385,215A,"2021-03-25 12:17:24",Attended
386,212A,"2021-03-25 12:17:24",Attended
387,201A,"2021-03-25 12:17:24",Attended
388,210A,"2021-03-25 12:17:24",Attended
389,204A,"2021-03-25 12:17:24",Attended
390,211B,"2021-03-25 12:17:25",Attended
391,207A,"2021-03-25 12:17:25",Attended
392,214A,"2021-03-25 12:17:25",Attended
393,206B,"2021-03-25 12:17:25",Attended
394,213A,"2021-03-25 12:17:25",Attended
395,208B,"2021-03-25 12:17:25",Attended
396,208A,"2021-03-25 12:17:25",Attended
