id,SwitchID,Date_n_Time,Status
397,201A,"2021-06-10 19:03:52",Called
398,201A,"2021-06-10 19:03:55",Attended
399,201A,"2021-06-10 19:03:55",Called
400,201A,"2021-06-10 19:03:58",Attended
401,201A,"2021-06-10 19:03:58",Called
402,201A,"2021-06-10 19:04:00",Attended
403,201A,"2021-06-10 19:04:00",Called
404,201A,"2021-06-10 19:04:06",Attended
405,201A,"2021-06-11 10:39:07",Called
406,202A,"2021-06-11 10:39:09",Called
407,203A,"2021-06-11 10:39:11",Called
408,204A,"2021-06-11 10:39:12",Called
409,205A,"2021-06-11 10:39:13",Called
410,205A,"2021-06-11 10:39:16",Attended
411,204A,"2021-06-11 10:39:17",Attended
412,203A,"2021-06-11 10:39:19",Attended
413,202A,"2021-06-11 10:39:20",Attended
414,201A,"2021-06-11 10:39:21",Attended
415,206B,"2021-06-11 10:42:19",Called
416,206B,"2021-06-11 10:42:21",Attended
417,205B,"2021-06-11 10:42:39",Called
418,206A,"2021-06-11 10:43:04",Called
419,206A,"2021-06-11 10:43:06",Attended
420,205B,"2021-06-11 10:43:16",Called
421,205B,"2021-06-11 10:51:57",Called
422,205B,"2021-06-11 10:53:09",Attended
423,207B,"2021-06-11 10:55:35",Called
424,208A,"2021-06-11 10:55:37",Called
425,208B,"2021-06-11 10:55:37",Called
426,209A,"2021-06-11 10:55:37",Called
427,209B,"2021-06-11 10:55:39",Called
428,210A,"2021-06-11 10:55:39",Called
429,210B,"2021-06-11 10:55:40",Called
430,211A,"2021-06-11 10:55:41",Called
431,211B,"2021-06-11 10:55:42",Called
432,212A,"2021-06-11 10:55:42",Called
433,212B,"2021-06-11 10:55:43",Called
434,212B,"2021-06-11 11:00:32",Attended
435,212B,"2021-06-11 11:00:33",Called
436,212B,"2021-06-11 11:00:33",Attended
437,212B,"2021-06-11 11:00:34",Called
438,202A,"2021-06-11 11:00:47",Attended
439,202A,"2021-06-11 11:00:48",Called
440,202A,"2021-06-11 11:00:48",Attended
441,201A,"2021-06-11 11:00:48",Attended
442,201A,"2021-06-11 11:00:48",Called
443,202A,"2021-06-11 11:00:49",Attended
444,212B,"2021-06-11 11:00:50",Attended
445,212B,"2021-06-11 11:00:50",Called
446,203A,"2021-06-11 11:00:50",Attended
447,203A,"2021-06-11 11:00:51",Called
448,203A,"2021-06-11 11:00:51",Attended
449,203A,"2021-06-11 11:00:52",Called
450,203A,"2021-06-11 11:00:54",Attended
451,203A,"2021-06-11 11:00:55",Called
452,203A,"2021-06-11 11:00:57",Attended
453,203A,"2021-06-11 11:00:57",Called
454,204A,"2021-06-11 11:00:58",Attended
455,204A,"2021-06-11 11:00:59",Called
456,204A,"2021-06-11 11:00:59",Attended
457,204A,"2021-06-11 11:01:00",Called
458,204A,"2021-06-11 11:01:03",Attended
459,204A,"2021-06-11 11:01:03",Called
460,205A,"2021-06-11 11:01:08",Attended
461,205A,"2021-06-11 11:01:08",Called
462,205B,"2021-06-11 11:01:11",Attended
463,205B,"2021-06-11 11:01:16",Called
464,205B,"2021-06-11 11:01:16",Attended
465,206A,"2021-06-11 11:01:18",Attended
466,206A,"2021-06-11 11:01:18",Called
467,206A,"2021-06-11 11:01:19",Attended
468,206A,"2021-06-11 11:01:19",Called
469,206A,"2021-06-11 11:01:23",Attended
470,206B,"2021-06-11 11:01:23",Attended
471,206B,"2021-06-11 11:01:24",Called
